DATA;DIA_SEMANA;TEMP_MAX;TEMP_MINIMO;NEBULOSIDADE;CHUVA;PROBABILIDADE_CHUVA;VELOCIDADE_VENTO
30/10;Qui;16;13;100.0;1.0;100;5.06 km/h
31/10;Sex;21;15;100.0;2.0;100;4.85 km/h
01/11;Sáb;27;17;71.0;18.0;100;6.68 km/h
02/11;Dom;19;17;100.0;28.0;100;3.98 km/h
03/11;Seg;25;17;95.0;1.0;25;7.3 km/h
04/11;Ter;20;16;98.0;3.0;100;5.45 km/h
05/11;Qua;19;15;99.0;0.0;0;5.48 km/h
06/11;Qui;21;15;100.0;0.0;20;4.72 km/h
07/11;Sex;21;17;100.0;31.0;100;4.76 km/h
08/11;Sáb;23;17;100.0;35.0;100;7.64 km/h
09/11;Dom;18;14;80.0;2.0;99;6.38 km/h
10/11;Seg;23;12;0.0;0.0;0;6.22 km/h
11/11;Ter;24;13;3.0;0.0;0;5.65 km/h
12/11;Qua;30;15;0.0;0.0;0;4.21 km/h
13/11;Qui;31;18;9.0;0.0;0;5.45 km/h
